,orderno,sentence
1710,264-4,A remote-sensing-based classification method has been developed to precisely map and measure the potentially invaded forest areas in part of the western Himalaya.
1711,264-5,Timely identification of location and extent of invaded pine areas provides the opportunity to control the invasion.
1712,264-6,Temporal Landsat 8 OLI satellite data were used for temporal vegetation index database.
1713,264-7,"Fuzzy-based, possibilistic C-means classifier is a soft classification technique used to identify the oak habitats and its coexistence with Chir pine."
1714,264-8,The outputs were validated using field data.
1715,264-9,A total of 33.16 +/- 10.01 km(2) was estimated as the mixed class showing coexistence of Banj oak and Chir pine.
1716,264-10,The overall accuracy was found to be 0.86 +/- 0.06 from the error matrix based on the estimated area proportion.
1717,264-11,"In addition to providing a method for mapping coexistence of Banj oak and Chir pine, this study also provides information on the potential extent of the incursion of Chir pine in Banj oak forests in the western Himalaya."
1718,264-12,The critical information on potential area under invasion provides forest managers to take essential steps to minimize the incursion.
1719,265-1,Remote sensing images with high-spatial and high-temporal (HSHT) resolution are difficult to be consistently achieved with a single polar orbit satellite because of the trade-off between spatial and temporal resolution.
1720,265-2,"However, blending algorithms have been developed to synthesize HSHT images from low-spatial but high-temporal resolution images and high-spatial but low-temporal resolution images."
1721,265-3,One example is a widely used weight-function-based method known as the enhanced spatial and temporal adaptive reflectance fusion model (ESTARFM).
1722,265-4,"Similar-pixels play a key role in the prediction accuracy of this model, and their identification is influenced by the method used, the number of classes, and the moving window size."
1723,265-5,"However, influence of these parameters on the final prediction accuracy has not been thoroughly examined."
1724,265-6,"Therefore, this study assesses the accuracy of ESTARFM when similar-pixels are identified by two separate methods using different numbers of classes and moving window sizes."
1725,265-7,The results indicated that the class-image-based method outperformed the threshold-based method in most cases and the increase of moving window size generally improved the accuracy for both methods.
1726,265-8,"However, the improvement was minor and accuracy degraded in some cases if the moving window was too large."
1727,265-9,"In addition, the ESTARFM program was optimized in this study, and its computational efficiency was improved compared with previous studies."
1728,266-1,Airborne remote sensing approaches to natural gas leak detection have recently become a viable alternative to traditional in situ surveillance methods.
1729,266-2,"However, there have been few formal studies addressing the advantages and disadvantages of the various kinds of instruments typically employed for this purpose."
1730,266-3,This investigation compares the theoretical performances of differential absorption lidar systems operating near 1.65 and 3.3 mu m.
1731,266-4,The random errors affecting these instruments' respective retrievals were simulated over a range of aircraft altitudes and observed natural gas concentrations.
